Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
cspdc.org,,Regional,Virginia,accepted term,"The Central Shenandoah Planning District Commission (CSPDC) represents and serves the local governments of Augusta, Bath, Highland, Rockbridge, and Rockingham counties and the cities of Buena Vista, Harrisonburg, Lexington, Staunton and Waynesboro as well as the 11 towns within the Central Shenandoah region.  -- Note added 6/6/14 20:14",http://cspdc.org/,6/6/13 18:08
metroplan.org,,Regional,Arkansas,candidate term,"Metroplan, the council of governments and Metropolitan Planning Organization for the central Arkansas region -- Note added 7/17/13 18:52",#N/A,6/6/13 18:08
swcrpc.org,,Regional,Vermont,accepted term,Southeern Windsor County Regional Planning Commission -- Note added 8/15/14 14:29,http://swcrpc.org/,6/6/13 18:08
tricountyrpc.org,,Regional,Illinois,accepted term,Tri-County Regional Planning Commission -- Note added 7/3/14 17:51,http://www.tricountyrpc.org/,6/6/13 18:09
ardc.org,,Regional,Minnesota,accepted term,"Arrowhead Regional Development Commission, MN -- Note added 3/11/15 15:19",http://www.ardc.org/,6/6/13 18:08
berkshireplanning.org,,Regional,Massachusetts,accepted term,Berkshire Regional Planning Commission -- Note added 8/26/15 15:37,http://berkshireplanning.org/,6/6/13 18:08
mmrdc.org,,Regional,Minnesota,accepted term,"Mid-Minnesota Development Commission. Per their website, MMDC 'provide(s) technical assistance to government, businesses and local organizations; administer state and federal programs, and coordinate multi-jurisdictional activities to maintain or enhance the quality of life in the Cities in Kandiyohi, McLeod, Meeker, and Renville Counties.' -- Note added 4/26/15 5:40",http://www.mmrdc.org/,6/6/13 18:08
ccrpa.org,,Regional,Connecticut,accepted term,Central Connecticut Regional Planning Agency -- Note added 12/15/14 6:18,http://ccrpa.org/,6/6/13 18:08
mppdc.com,,Regional,Virginia,accepted term,"Website for Virginia's Middle Peninsula Planning District Commission, which is comprised of the 6 counties - Essex, Gloucester, King and Queen, King William, Mathews, and Middlesex - and 3 towns - Tappahannock, Urbanna, and West Point - of the Middle Peninsula. -- Note added 6/27/14 13:56",http://mppdc.com/,6/6/13 18:08
cdrpc.org,,Regional,New York,accepted term,Capital District Regional Planning Commission (NY) -- Note added 6/17/15 17:05,http://cdrpc.org/,6/6/13 18:08
gflrpc.org,,Regional,New York,accepted term,Genesee and Finger Lakes Regional Planning Council -- Note added 7/1/15 12:18,http://gflrpc.org/,6/6/13 18:08
hrpdc.org,,Regional,Virginia,accepted term,"The Hampton Roads Planning District Commission (HRPDC), one of 21 Planning District Commissions in the Commonwealth of Virginia, is a regional organization representing the area's sixteen local governments. -- Note added 6/17/14 18:18",http://hrpdc.org,6/6/13 18:08
landofsky.org,,Regional,North Carolina,accepted term,"Land-of-Sky Regional Council, North Carolina -- Note added 6/6/13 18:08",http://landofsky.org/,6/6/13 18:08
metrocouncil.org,,Regional,Minnesota,accepted term,"Metropolitan Council Per the 'Who We Are' section of the website, the Metropolitan Council 'is the regional policy-making body, planning agency, and provider of essential services for the Twin Cities metropolitan region.' -- Note added 4/26/15 5:26",http://www.metrocouncil.org/,6/6/13 18:08
morpc.org,,Regional,Ohio,accepted term, Mid-Ohio Regional Planning Commission -- Note added 3/25/14 13:29,http://morpc.org/,6/6/13 18:08
mrpdc.org,,Regional,Virginia,accepted term,"The Mount Rogers Planning District Commission (MRPDC) is an organization that promotes regional cooperation and planning in Southwest Virgina. It serves the Counties of Bland, Carroll, Grayson, Smyth, Washington, and Wythe and the independent Cities of Bristol and Galax. -- Note added 6/20/14 13:43",http://mrpdc.org/,6/6/13 18:08
nirpc.org,,Regional,Indiana,accepted term,NW indiana regional planning commission -- Note added 8/27/15 14:47,http://nirpc.org/,6/6/13 18:08
nrvpdc.org,,Regional,Virginia,accepted term,"The New River Valley Planning District is one of twenty one planning districts in Virginia whose commissions are chartered under Virginia law. Also known as PDC 4, the organization encompasses the counties of Floyd, Giles, Montgomery, and Pulaski, and the City of Radford. The purpose of the planning district commission is to promote regional cooperation, to coordinate the activities and policies of member local governments, and to provide planning assistance to local governments. -- Note added 6/20/14 13:49",http://nrvpdc.org/,6/6/13 18:08
richmondregional.org,,Regional,Virginia,accepted term,"The Richmond Regional Planning District Commission is a regional planning agency in Virginia, serving the districts of Ashland, Charles City, Chesterfield, Goochland, Hanover, New Kent, Powhatan, and Richmond. -- Note added 6/27/14 14:10",http://www.richmondregional.org/,6/6/13 18:08
rndc.org,,Regional,Minnesota,accepted term,"Region Nine Development Commission Per the RNDC website, 'the Region Nine Development Commission takes great pride in working with and on behalf of counties, cities, townships and schools throughout south central Minnesota. Since 1972, being a partner for progress has led to the development of programs and identification of solutions in the areas of aging, economic development, business development, healthy communities, transportation, community development, and leveraging regional resources.' -- Note added 5/1/15 2:18",http://www.rndc.org/,6/6/13 18:08
pscleanair.org,,Regional,Washington,accepted term,Puget Sound Clean Air Agency -- Note added 11/17/14 7:10,http://www.pscleanair.org/Pages/default.aspx,6/6/13 18:08
norpc.org,,Regional,Louisiana,accepted term,Regional Planning Commission  -- Note added 8/24/15 15:01,http://norpc.org/,6/6/13 18:08
nwrdc.org,,Regional,Minnesota,accepted term,"Northwest Regional Development Commission Per the NWRDC website, the NWRDC 'is a body of 21 local elected officials and 15 public interest members who have formed a special purpose unit of government, as authorized by the Regional Development Act of 1969, to &ldquo;develop plans and implement programs which address growth and development issues&rdquo; in Northwest Minnesota.' -- Note added 5/1/15 1:36",http://nwrdc.org/,6/6/13 18:08
philaport.com,,Regional,Pennsylvania,accepted term,Philadelphia Regional Port Authority -- Note added 6/7/13 11:53,http://philaport.com/,6/7/13 11:53
regiona.org,,Regional,North Carolina,accepted term,The Southwestern North Carolina Planning and Economic Development Commission  (Southwestern Commission) -- Note added 9/15/15 17:47,http://www.regiona.org/,6/6/13 18:08
psrc.org,,Regional,Washington,accepted term,Puget Sound Regional Council -- Note added 11/17/14 7:09,http://www.psrc.org/,6/6/13 18:08
region7erdc.org,,Regional,Minnesota,accepted term,"East Central Regional Development Commission Per the ECRDC website, 'the East Central Regional Development Commission's mission is to provide leadership and direction through problem solving. We do this by imitating projects and programs that lead to create solutions to regional problems, by providing technical assistance and by identifying and developing available resources. Our mission is to provide a leadership role as an advocate for East Central Minnesota to bring about positive change.' -- Note added 5/1/15 2:15",http://www.region7erdc.org/,6/6/13 18:08
rtd-denver.com,,Regional,Colorado,accepted term,"Regional Transportation District, Denver -- Note added 7/14/14 6:30",http://rtd-denver.com/,6/6/13 18:08
rvarc.org,,Regional,Virginia,accepted term,"Roanoke Valley-Alleghany Regional Commission, one of the 21 Planning District Commissions of the Commonwealth of Virginia. -- Note added 6/27/14 14:21",http://rvarc.org/,6/6/13 18:08
sfrpc.com,,Regional,Florida,accepted term,South Florida Regional Planning Council -- Note added 7/1/15 18:50,http://sfrpc.com/,6/6/13 18:08
sjra.net,,Regional,Texas,accepted term,San Jacinto River Authority -- Note added 7/8/14 12:20,http://sjra.net/,6/6/13 18:08
srpedd.org,,Regional,Massachusetts,accepted term,"southeast regional planning and economic development district, Ma  -- Note added 8/26/15 16:22",http://srpedd.org/,6/6/13 18:08
swfrpc.org,,Regional,Florida,accepted term,Southwest Florida Regional Planning Council -- Note added 7/1/15 19:06,http://swfrpc.org/,6/6/13 18:08
tbrpc.org,,Regional,Florida,accepted term,Tampa Bay Regional Planning Council -- Note added 6/6/13 18:08,http://tbrpc.org/,6/6/13 18:08
tcrpc.org,,Regional,Florida,accepted term,Treasure Coast Regional Planning Council -- Note added 6/6/13 18:08,http://tcrpc.org/,6/6/13 18:08
thearpc.com,,Regional,Florida,accepted term,"The Apalachee, FL Regional Planning Council -- Note added 7/1/15 19:15",http://thearpc.com/,6/6/13 18:08
trpc.org,,Regional,Washington,accepted term,Thurston Regional Planning Council -- Note added 11/12/14 6:35,http://trpc.org/Pages/default.aspx,6/6/13 18:09
warc.info,,Regional,Alabama,candidate term,West Alabama Regional Commission -- Note added 7/17/13 13:19,#N/A,6/6/13 18:09
wfrpc.dst.fl.us,,Regional,Florida,accepted term,West Florida Regional Planning Council (WFRPC) -- Note added 1/13/14 19:40,#N/A,6/6/13 18:09
tjpdc.org,,Regional,Virginia,accepted term,"Thomas Jefferson Planning District Commission, serving the city of Charlottesville and the counties of Albemarle, Fluvanna, Greene, Louisa and Nelson in Virginia. -- Note added 7/11/14 18:54",http://tjpdc.org/index.asp,6/6/13 18:08
tml1.org,,Regional,Tennessee,accepted term,Tennessee Municipal League -- Note added 6/26/14 7:17,http://tml1.org/,6/6/13 18:08
wfrpc.org,,Regional,Florida,accepted term,West Florida Regional Planning Council (WFRPC) -- Note added 1/13/14 19:42,http://www.wfrpc.org/,1/13/14 19:41
wmsrdc.org,,Regional,Michigan,accepted term, West Michigan Shoreline Regional Development Commission -- Note added 9/3/15 16:24,http://wmsrdc.org/,6/6/13 18:09
alaskarrt.org,,Regional,Alaska,accepted term,"Alaska Regional Response Team, an advisory board to the Federal On Scene Coordinator (FOSC). -- Note added 6/27/14 6:10",http://alaskarrt.org/,6/7/13 12:10
cfrpc.org,,Regional,Florida,accepted term,Central Florida Regional Planning Council -- Note added 6/16/15 14:15,http://www.cfrpc.org/,6/6/13 18:08
uvec.org,,Regional,Maine,accepted term,The Upper Valley Economic Council   -- Note added 8/27/15 20:15,http://uvec.org/home.aspx,6/6/13 18:09
csrardc.org,,Regional,Georgia,accepted term,Central Savannah River Area Regional Commission -- Note added 8/25/15 14:43,http://csrardc.org/,6/6/13 18:08
ecfrpc.org,,Regional,Florida,accepted term,East Central Florida Regional Planning Council -- Note added 6/17/15 12:24,http://ecfrpc.org/Home.aspx,6/6/13 18:08
hrdc.org,,Regional,Minnesota,accepted term,"Headwaters Regional Development Commission, Bemidji, MN Regional development organization; per 'About Us' section of website, 'HRDC was formed in 1971 by local units of government in this spirit.' -- Note added 4/26/15 3:58",http://www.hrdc.org/,6/6/13 18:08
ncfrpc.org,,Regional,Florida,accepted term,"The North Central Florida Regional Planning Commission - To improve the quality of life of the Region's citizens by coordinating growth management, protecting regional resources, promoting economic development, and providing technical services to local governments. -- Note added 6/30/15 12:03",http://ncfrpc.org/,6/6/13 18:08
nefrpc.org,,Regional,Florida,accepted term,Northeast Florida Regional Council - Regional Planning Councils are authorized by Florida Statutes. There are 10 Regional Planning Councils in the State of Florida. -- Note added 6/30/15 12:19,http://www.nefrpc.org/,6/6/13 18:08
critfc.org,,Regional,Oregon,accepted term,Columbia River Inter-Tribal Fish Commission - 4/6/2021,https://www.critfc.org/,4/6/21